index,hight,width,estimate,root_children
0,6,1,3.6893488147419103e+19,1
1,5,1,3.6893488147419103e+19,1
2,6,1,4.611686018427388e+19,1
3,7,1,4.611686018427388e+19,1
4,6,1,3.6893488147419103e+19,1
5,6,1,3.6893488147419103e+19,1
6,7,1,4.611686018427388e+19,1
7,6,1,4.611686018427388e+19,1
8,7,1,4.611686018427388e+19,1
9,6,1,3.6893488147419103e+19,1
10,6,1,4.611686018427388e+19,1
11,5,1,3.6893488147419103e+19,1
12,7,1,4.611686018427388e+19,1
13,5,2,2.7670116110564327e+19,2
14,4,2,1.8446744073709552e+19,2
15,5,2,2.7670116110564327e+19,2
16,4,2,2.7670116110564327e+19,2
17,5,2,2.7670116110564327e+19,2
18,4,2,1.8446744073709552e+19,2
19,5,2,2.7670116110564327e+19,2
20,6,1,3.6893488147419103e+19,1
21,5,1,3.6893488147419103e+19,1
22,6,1,3.6893488147419103e+19,1
23,4,3,1.8446744073709552e+19,2
24,4,3,1.8446744073709552e+19,3
25,4,3,1.8446744073709552e+19,3
26,4,3,1.8446744073709552e+19,2
27,4,3,2.7670116110564327e+19,3
28,3,3,1.8446744073709552e+19,3
29,4,3,2.7670116110564327e+19,3
30,3,3,1.8446744073709552e+19,3
31,3,4,1.8446744073709552e+19,4
0,6,1,3.6893488147419103e+19,1
