index,hight,width,estimate,root_children
0,7,2,7.378697629483821e+19,2
1,6,2,7.378697629483821e+19,2
2,7,2,7.378697629483821e+19,2
3,6,2,7.378697629483821e+19,2
4,7,2,7.378697629483821e+19,2
5,7,2,8.301034833169298e+19,2
6,6,2,8.301034833169298e+19,2
7,7,2,7.378697629483821e+19,2
8,7,2,8.301034833169298e+19,2
9,6,2,7.378697629483821e+19,2
10,6,2,8.301034833169298e+19,2
11,7,2,7.378697629483821e+19,2
12,5,2,7.378697629483821e+19,2
13,8,2,8.301034833169298e+19,2
14,8,2,7.378697629483821e+19,2
15,7,2,7.378697629483821e+19,2
16,7,2,7.378697629483821e+19,2
17,7,2,8.301034833169298e+19,2
18,6,2,7.378697629483821e+19,2
19,7,2,8.301034833169298e+19,2
0,7,2,7.378697629483821e+19,2
